xatplane,yatplane,kErg,event
2186.0309360364677,-7.459814269243326,0.07567662000656128,1339
2186.166696908929,-11.958770679173671,0.004605412483215332,1339
2179.9116308456,-11.240086204740019,0.21652251482009888,1339
2184.2420667867746,-14.827174041678797,0.0018837451934814453,1339
2210.659316254627,-45.68960157477176,0.002489030361175537,1339
2186.499344964491,-3.334979870030213,0.0018839836120605469,1339
2244.338482225689,-3.437576649143184,0.0037088394165039062,1339
2163.490166308565,-28.860705804926308,0.0026738643646240234,1339
2165.327023988088,0.3876744848216678,0.00020295381546020508,1339
301.2184797501095,-587.1316417700544,0.0012899041175842285,1340
299.20489245549214,-576.9625033165719,0.006477713584899902,1340
300.457862673157,-576.7163055987994,0.0009069442749023438,1340
270.5303847079902,-591.9541530905232,0.004012584686279297,1340
392.2082765211061,-385.578529638962,0.004027068614959717,1355
182.66300025804705,-229.7250639838496,0.0018747448921203613,1355
-1040.938764403659,-327.6938466259657,0.5872923731803894,1381
-929.5094483194214,1303.8330807307402,0.043445587158203125,1410
8626.514409523179,20217.998222594015,0.013949692249298096,1410
-1426.5534823969267,-1411.2842607359137,0.035835087299346924,1419
-1432.3416739339716,-1465.1703682065754,0.0018973350524902344,1419
1753.2077630242595,615.5375207975799,0.43207937479019165,1431
1720.7209303815514,705.8819575602794,0.00161820650100708,1431
-3654.7453510884648,9327.584033272371,0.006857335567474365,1438
-239.6456355604954,-2324.4514934493704,0.003238499164581299,1460
3712.459358551616,-1213.9741150051238,0.06139010190963745,1464
885.5655194038053,-187.22134184826342,0.06802648305892944,1468
877.139701757896,-183.5558602253185,0.0009412765502929688,1468
776.0609670400612,-379.234025829313,0.025250256061553955,1480
857.3284607242304,-431.6559028340214,0.1444419026374817,1480
812.425717559591,-532.8549600268444,0.003489375114440918,1480
1293.3671118714628,2127.417572435046,0.04700887203216553,1488
-1918.4774168869706,2173.4923306030014,0.0011236071586608887,1488
-545.7160142457234,5508.101626426261,0.00024497509002685547,1488
-305.0135887779752,1306.206492084179,0.0005909204483032227,1492
648.6643412728552,-1694.465186555916,0.17993885278701782,1500
667.9867997484406,-1669.736384326724,0.0014272332191467285,1500
700.5425244025229,-1672.4658478157332,0.0013148784637451172,1500
199.7194288384694,733.8565148266814,6.568431854248047e-05,1505
34.25061827860782,644.3754443405444,0.0006096363067626953,1573
250.36167491461325,1080.3173956778037,0.0004836916923522949,1573
-695.1264670089535,-1017.0983682231504,0.08701330423355103,1593
2887.4609064569754,219.57700072338747,0.0009122490882873535,1618
574.2872972162584,870.2138642943012,0.00023806095123291016,1618
1776.4367733494369,-1339.576970323875,0.14737385511398315,1633
-44.01790597860088,-445.98471810556475,0.003518223762512207,1688
651.483726620863,565.5119332794777,0.006312131881713867,1694
676.052005957024,592.8741644686132,0.0003027915954589844,1694
532.1956835261991,638.9930213278471,0.0014982223510742188,1694
1974.696998189423,-1689.7049644520066,0.05360066890716553,1705
1904.2058447750208,-1679.1375245183663,0.0023020505905151367,1705
1741.5147015954733,192.78806813162296,0.001248776912689209,1705
-244.07162491154733,-71.62174685755616,0.004963219165802002,1707
-215.69534460643015,-299.7073492649946,0.0018565058708190918,1707
-156.080382692061,-3601.88230143731,6.437301635742188e-05,1708
-2281.192406084157,907.1025089065629,0.0072400569915771484,1743
-1221.0518357215624,-1364.0711855435127,0.09121578931808472,1758
-1165.018862725287,-1351.1153664553265,0.0028259754180908203,1758
-799.7913592712154,-1383.6644238844124,0.0019040107727050781,1761
183.3972011331332,-2304.010173254154,0.005511164665222168,1765
